Experiment_ID,Cell_Line,Concentration,Exposure_Time,ROS,LDH,Apoptosis,Cell_Viability,Toxicity_Score,IC50,Safe_Range
EXP-ZNO-02464,HepG2,88.07,12,62.81,63.39,58.75,21.97,73.39,53.53,0 - 24.09
EXP-ZNO-02465,NIH-3T3,90.79,24,44.4,27.24,35.28,36.28,40.09,65.0,0 - 29.25
EXP-ZNO-02466,HEK293,138.14,6,32.67,34.61,35.4,48.07,36.55,97.47,0 - 43.86
EXP-ZNO-02467,Caco-2,19.81,24,6.16,2.87,5.01,92.99,5.62,50.0,0 - 22.5
EXP-ZNO-02468,HeLa,117.23,72,79.53,63.36,66.05,12.9,78.87,30.64,0 - 13.79
EXP-ZNO-02469,Jurkat,29.18,48,63.11,60.31,56.55,40.65,77.77,23.54,0 - 10.59
EXP-ZNO-02470,HepG2,92.02,12,51.59,41.86,44.52,37.08,57.47,53.53,0 - 24.09
EXP-ZNO-02471,CHO,34.01,48,27.31,26.27,25.75,62.19,28.95,43.15,0 - 19.42
EXP-ZNO-02472,Caco-2,1.19,12,4.43,0.0,0.0,98.52,1.54,63.73,0 - 28.68
EXP-ZNO-02473,A549,67.91,12,53.64,55.55,52.78,39.5,68.67,48.43,0 - 21.79
EXP-ZNO-02474,HeLa,95.0,6,45.67,46.74,43.82,38.98,53.23,73.1,0 - 32.9
EXP-ZNO-02475,A549,160.15,72,93.75,77.65,78.41,5.0,107.59,25.87,0 - 11.64
EXP-ZNO-02476,A549,99.9,6,71.64,60.69,53.66,35.76,76.32,61.73,0 - 27.78
EXP-ZNO-02477,MCF-7,99.32,6,82.6,69.4,59.05,27.63,89.97,56.86,0 - 25.59
EXP-ZNO-02478,Caco-2,112.05,6,49.8,39.17,36.5,36.26,50.52,81.23,0 - 36.55
EXP-ZNO-02479,NIH-3T3,17.92,12,5.46,5.88,7.25,84.12,8.8,82.85,0 - 37.28
EXP-ZNO-02480,Caco-2,183.92,12,73.1,65.32,58.94,9.89,74.4,63.73,0 - 28.68
EXP-ZNO-02481,A549,70.16,6,61.22,60.16,55.47,39.02,72.09,61.73,0 - 27.78
EXP-ZNO-02482,NIH-3T3,33.42,6,13.53,12.81,5.31,89.83,8.41,105.59,0 - 47.52
EXP-ZNO-02483,MCF-7,98.03,6,67.38,62.39,53.48,32.35,80.85,56.86,0 - 25.59
EXP-ZNO-02484,A549,39.88,6,26.47,19.08,21.75,73.91,29.36,61.73,0 - 27.78
EXP-ZNO-02485,Caco-2,66.07,6,36.9,27.64,28.82,59.09,34.49,81.23,0 - 36.55
EXP-ZNO-02486,Caco-2,184.5,72,79.98,65.72,61.2,5.0,78.41,34.04,0 - 15.32
EXP-ZNO-02487,PC12,46.38,12,44.57,36.73,42.0,48.92,53.2,50.98,0 - 22.94
EXP-ZNO-02488,CHO,131.74,12,55.3,53.07,42.72,24.38,56.91,70.1,0 - 31.55
EXP-ZNO-02489,NIH-3T3,155.97,48,64.73,54.18,52.61,9.48,59.38,51.0,0 - 22.95
EXP-ZNO-02490,HEK293,58.2,6,13.64,18.78,20.81,69.48,20.34,97.47,0 - 43.86
EXP-ZNO-02491,MCF-7,9.43,24,5.45,4.81,7.41,93.57,7.67,35.0,0 - 15.75
EXP-ZNO-02492,HeLa,163.58,72,76.82,71.8,66.0,8.69,81.69,30.64,0 - 13.79
EXP-ZNO-02493,HEK293,164.32,48,61.2,60.37,52.91,12.4,62.08,47.08,0 - 21.18
EXP-ZNO-02494,HepG2,3.54,72,9.3,5.57,3.22,97.75,4.52,28.59,0 - 12.87
EXP-ZNO-02495,HEK293,188.03,12,52.32,54.43,52.84,18.0,57.42,76.47,0 - 34.41
EXP-ZNO-02496,A549,62.73,24,70.65,58.21,58.6,35.11,76.92,38.0,0 - 17.1
EXP-ZNO-02497,PC12,77.75,12,66.62,59.31,53.49,35.27,72.0,50.98,0 - 22.94
EXP-ZNO-02498,CHO,66.19,24,44.71,35.63,39.52,40.3,45.06,55.0,0 - 24.75
EXP-ZNO-02499,PC12,194.96,6,71.31,67.17,62.73,23.36,82.88,64.98,0 - 29.24
EXP-ZNO-02500,HEK293,87.65,12,45.35,34.83,33.61,42.47,40.89,76.47,0 - 34.41
EXP-ZNO-02501,HeLa,143.53,48,73.96,63.18,63.95,11.67,78.03,35.31,0 - 15.89
EXP-ZNO-02502,HepG2,66.14,24,57.63,45.23,48.0,34.74,61.05,42.0,0 - 18.9
EXP-ZNO-02503,CHO,87.57,48,63.56,46.22,49.11,25.27,57.94,43.15,0 - 19.42
EXP-ZNO-02504,Jurkat,28.68,48,67.38,59.78,57.82,37.31,81.2,23.54,0 - 10.59
EXP-ZNO-02505,PC12,181.8,6,75.63,69.87,70.0,18.27,88.52,64.98,0 - 29.24
EXP-ZNO-02506,HeLa,142.83,6,60.89,49.71,52.29,24.59,65.18,73.1,0 - 32.9
EXP-ZNO-02507,HeLa,56.87,6,35.62,29.33,33.99,56.32,38.46,73.1,0 - 32.9
EXP-ZNO-02508,A549,39.91,72,71.83,70.13,62.61,27.77,84.47,25.87,0 - 11.64
EXP-ZNO-02509,HeLa,97.87,72,80.92,67.42,60.5,9.13,80.81,30.64,0 - 13.79
EXP-ZNO-02510,Jurkat,47.36,24,75.97,72.41,71.28,28.31,94.37,30.0,0 - 13.5
EXP-ZNO-02511,HEK293,105.54,12,45.49,47.55,33.27,40.47,43.34,76.47,0 - 34.41
EXP-ZNO-02512,Jurkat,122.07,72,100.0,93.67,80.67,5.05,121.71,20.42,0 - 9.19
EXP-ZNO-02513,PC12,67.23,6,48.74,49.04,44.29,44.72,59.1,64.98,0 - 29.24
EXP-ZNO-02514,HepG2,140.67,12,82.97,69.14,65.76,11.22,85.28,53.53,0 - 24.09
EXP-ZNO-02515,HepG2,139.4,6,75.9,62.1,60.48,19.62,77.44,68.23,0 - 30.7
EXP-ZNO-02516,CHO,112.71,6,44.52,37.44,42.23,38.01,46.66,89.35,0 - 40.21
EXP-ZNO-02517,PC12,44.96,72,75.33,58.46,56.21,31.38,76.56,27.23,0 - 12.25
EXP-ZNO-02518,NIH-3T3,159.22,72,60.67,56.11,51.23,9.43,58.82,44.25,0 - 19.91
EXP-ZNO-02519,HepG2,183.45,24,82.2,65.84,64.06,11.71,84.07,42.0,0 - 18.9
EXP-ZNO-02520,Jurkat,79.04,72,96.91,85.3,79.21,10.66,115.35,20.42,0 - 9.19
EXP-ZNO-02521,NIH-3T3,188.22,24,51.49,44.0,45.11,22.01,50.13,65.0,0 - 29.25
EXP-ZNO-02522,CHO,157.27,12,53.3,46.19,45.94,26.57,55.08,70.1,0 - 31.55
EXP-ZNO-02523,Caco-2,149.98,6,64.36,58.06,47.93,24.88,63.01,81.23,0 - 36.55
EXP-ZNO-02524,PC12,122.35,24,82.58,74.78,62.65,18.33,89.66,40.0,0 - 18.0
EXP-ZNO-02525,HepG2,127.17,24,79.08,71.74,67.22,10.64,85.41,42.0,0 - 18.9
EXP-ZNO-02526,HEK293,159.56,72,67.87,60.52,56.79,5.0,66.87,40.85,0 - 18.38
EXP-ZNO-02527,Jurkat,162.9,6,91.74,75.67,74.2,21.75,103.94,48.74,0 - 21.93
EXP-ZNO-02528,A549,110.79,6,77.47,69.73,65.99,22.64,89.44,61.73,0 - 27.78
EXP-ZNO-02529,NIH-3T3,41.93,72,27.92,31.3,20.44,54.46,28.89,44.25,0 - 19.91
EXP-ZNO-02530,CHO,136.02,12,56.12,42.48,44.56,30.28,53.23,70.1,0 - 31.55
EXP-ZNO-02531,A549,181.0,6,90.17,81.29,71.07,16.86,98.95,61.73,0 - 27.78
EXP-ZNO-02532,HEK293,165.65,72,61.1,62.4,57.32,7.4,65.01,40.85,0 - 18.38
EXP-ZNO-02533,NIH-3T3,101.25,24,48.62,38.11,36.15,31.1,44.25,65.0,0 - 29.25
EXP-ZNO-02534,Jurkat,118.61,24,96.01,88.73,78.04,10.76,115.49,30.0,0 - 13.5
EXP-ZNO-02535,CHO,71.56,48,54.72,46.93,46.03,26.37,55.53,43.15,0 - 19.42
EXP-ZNO-02536,Caco-2,42.63,24,29.29,27.5,27.57,58.09,33.32,50.0,0 - 22.5
EXP-ZNO-02537,PC12,103.59,12,69.63,62.73,60.69,25.85,79.94,50.98,0 - 22.94
EXP-ZNO-02538,A549,15.67,48,23.53,17.74,19.74,78.06,25.56,29.81,0 - 13.42
EXP-ZNO-02539,HepG2,154.13,24,74.3,63.25,58.53,17.19,78.26,42.0,0 - 18.9
EXP-ZNO-02540,HeLa,77.22,48,63.48,54.94,57.42,23.25,67.92,35.31,0 - 15.89
EXP-ZNO-02541,MCF-7,162.31,24,92.01,77.18,79.26,13.97,106.1,35.0,0 - 15.75
EXP-ZNO-02542,PC12,79.58,24,72.8,64.6,50.73,29.22,77.34,40.0,0 - 18.0
EXP-ZNO-02543,Caco-2,44.08,48,42.44,41.42,33.21,50.35,42.28,39.23,0 - 17.65
EXP-ZNO-02544,HepG2,115.84,72,86.38,77.3,70.97,5.66,91.02,28.59,0 - 12.87
EXP-ZNO-02545,HepG2,17.56,72,25.59,26.44,20.55,65.91,30.67,28.59,0 - 12.87
EXP-ZNO-02546,PC12,103.59,72,83.1,73.81,74.51,12.73,94.88,27.23,0 - 12.25
EXP-ZNO-02547,PC12,83.55,72,94.03,75.51,71.96,12.93,97.13,27.23,0 - 12.25
EXP-ZNO-02548,Jurkat,183.61,24,100.0,84.31,90.64,5.49,121.55,30.0,0 - 13.5
EXP-ZNO-02549,HEK293,5.13,72,6.15,0.0,1.1,97.79,2.12,40.85,0 - 18.38
EXP-ZNO-02550,Jurkat,183.59,72,100.0,89.2,80.87,5.0,120.91,20.42,0 - 9.19
EXP-ZNO-02551,CHO,190.92,48,72.88,64.9,52.48,8.41,70.18,43.15,0 - 19.42
EXP-ZNO-02552,Caco-2,90.65,24,62.38,52.08,47.51,29.69,59.44,50.0,0 - 22.5
EXP-ZNO-02553,HeLa,108.83,72,75.08,66.11,63.4,10.13,79.38,30.64,0 - 13.79
EXP-ZNO-02554,NIH-3T3,119.73,72,55.44,49.6,47.45,15.49,54.32,44.25,0 - 19.91
EXP-ZNO-02555,CHO,30.54,6,8.03,10.9,10.64,87.11,10.15,89.35,0 - 40.21
EXP-ZNO-02556,HepG2,147.26,72,85.93,78.81,71.18,5.0,91.54,28.59,0 - 12.87
EXP-ZNO-02557,HepG2,169.96,24,91.03,75.84,64.4,5.8,90.66,42.0,0 - 18.9
EXP-ZNO-02558,A549,130.5,12,87.45,75.8,79.75,12.62,101.42,48.43,0 - 21.79
EXP-ZNO-02559,HepG2,65.61,72,76.59,63.06,61.65,21.16,77.12,28.59,0 - 12.87
EXP-ZNO-02560,NIH-3T3,169.43,6,48.45,36.47,31.21,36.72,41.19,105.59,0 - 47.52
EXP-ZNO-02561,PC12,139.21,6,78.08,65.15,58.51,24.65,82.62,64.98,0 - 29.24
EXP-ZNO-02562,MCF-7,141.86,12,95.09,78.21,80.23,11.69,108.67,44.61,0 - 20.07
EXP-ZNO-02563,PC12,136.95,24,85.35,74.03,66.8,15.05,92.77,40.0,0 - 18.0
EXP-ZNO-02564,HEK293,145.16,72,69.55,60.96,51.34,8.1,65.2,40.85,0 - 18.38
EXP-ZNO-02565,NIH-3T3,195.14,6,50.87,43.98,36.1,29.83,45.82,105.59,0 - 47.52
EXP-ZNO-02566,NIH-3T3,132.81,6,34.37,31.0,30.2,49.26,33.14,105.59,0 - 47.52
EXP-ZNO-02567,A549,159.59,12,95.14,74.87,78.48,10.04,104.41,48.43,0 - 21.79
EXP-ZNO-02568,MCF-7,45.62,6,50.09,37.46,36.77,56.0,53.94,56.86,0 - 25.59
EXP-ZNO-02569,CHO,49.87,6,20.69,18.68,19.64,71.39,21.77,89.35,0 - 40.21
EXP-ZNO-02570,Jurkat,157.58,24,100.0,89.05,80.6,7.27,119.36,30.0,0 - 13.5
EXP-ZNO-02571,HEK293,168.8,6,50.35,49.57,46.45,26.89,51.87,97.47,0 - 43.86
EXP-ZNO-02572,HEK293,164.12,12,55.88,54.17,45.48,21.68,55.49,76.47,0 - 34.41
EXP-ZNO-02573,MCF-7,134.53,48,94.96,89.42,76.81,7.6,112.66,27.46,0 - 12.36
EXP-ZNO-02574,A549,84.34,48,87.96,76.02,68.18,16.9,96.93,29.81,0 - 13.42
EXP-ZNO-02575,A549,45.41,72,81.25,70.57,64.48,21.93,90.65,25.87,0 - 11.64
EXP-ZNO-02576,Jurkat,130.4,24,100.0,88.61,83.49,5.86,120.75,30.0,0 - 13.5
EXP-ZNO-02577,PC12,152.81,12,77.95,68.26,65.79,17.25,88.63,50.98,0 - 22.94
EXP-ZNO-02578,Jurkat,150.13,48,100.0,92.77,85.38,7.79,120.68,23.54,0 - 10.59
EXP-ZNO-02579,Caco-2,65.0,48,69.3,58.16,52.25,17.59,68.05,39.23,0 - 17.65
EXP-ZNO-02580,CHO,137.89,12,55.51,52.82,51.44,22.5,58.94,70.1,0 - 31.55
EXP-ZNO-02581,HEK293,109.76,24,54.67,50.99,44.35,20.42,55.27,60.0,0 - 27.0
EXP-ZNO-02582,NIH-3T3,140.39,6,45.49,35.45,28.92,38.39,39.65,105.59,0 - 47.52
EXP-ZNO-02583,A549,44.07,6,34.31,32.28,27.74,64.66,40.24,61.73,0 - 27.78
EXP-ZNO-02584,HEK293,19.16,48,26.35,8.15,9.52,81.62,14.54,47.08,0 - 21.18
EXP-ZNO-02585,CHO,150.5,6,59.92,50.96,48.01,27.01,56.99,89.35,0 - 40.21
EXP-ZNO-02586,HeLa,43.76,6,20.56,19.54,19.28,78.27,20.8,73.1,0 - 32.9
EXP-ZNO-02587,CHO,72.21,48,52.91,45.46,46.93,29.42,53.76,43.15,0 - 19.42
EXP-ZNO-02588,A549,27.25,6,26.66,21.6,24.61,74.67,29.91,61.73,0 - 27.78
EXP-ZNO-02589,MCF-7,141.21,12,95.8,80.46,76.16,11.09,108.89,44.61,0 - 20.07
EXP-ZNO-02590,CHO,49.99,72,46.52,39.67,42.44,38.28,47.23,37.44,0 - 16.85
EXP-ZNO-02591,PC12,188.38,72,99.07,79.16,77.46,5.0,104.43,27.23,0 - 12.25
EXP-ZNO-02592,PC12,33.96,24,41.74,37.96,29.75,59.76,44.42,40.0,0 - 18.0
EXP-ZNO-02593,NIH-3T3,184.48,24,52.77,51.94,42.02,10.71,55.43,65.0,0 - 29.25
EXP-ZNO-02594,NIH-3T3,99.49,12,42.1,24.41,25.12,44.21,35.0,82.85,0 - 37.28
EXP-ZNO-02595,PC12,21.84,72,40.46,29.61,30.35,59.33,43.03,27.23,0 - 12.25
EXP-ZNO-02596,A549,73.39,12,61.42,56.53,55.85,35.31,73.78,48.43,0 - 21.79
EXP-ZNO-02597,Caco-2,146.04,12,63.24,55.22,52.09,20.03,65.29,63.73,0 - 28.68
EXP-ZNO-02598,NIH-3T3,65.76,24,28.42,35.98,26.1,50.48,31.8,65.0,0 - 29.25
EXP-ZNO-02599,HeLa,37.73,12,29.29,31.52,31.36,62.72,33.93,57.36,0 - 25.81
EXP-ZNO-02600,Jurkat,132.51,48,92.47,91.08,85.39,6.83,119.01,23.54,0 - 10.59
EXP-ZNO-02601,Jurkat,96.91,24,92.31,85.04,77.57,16.02,110.3,30.0,0 - 13.5
EXP-ZNO-02602,Jurkat,27.02,12,44.15,43.97,44.17,53.64,58.8,38.24,0 - 17.21
EXP-ZNO-02603,HepG2,148.83,6,73.29,62.46,58.71,21.64,75.61,68.23,0 - 30.7
EXP-ZNO-02604,HeLa,37.97,48,48.96,32.2,36.15,49.48,45.3,35.31,0 - 15.89
EXP-ZNO-02605,HeLa,34.59,24,32.7,27.41,20.18,67.28,30.04,45.0,0 - 20.25
EXP-ZNO-02606,HEK293,16.36,6,1.79,3.61,0.0,100.0,0.76,97.47,0 - 43.86
EXP-ZNO-02607,MCF-7,137.72,48,94.48,85.0,76.11,12.38,108.59,27.46,0 - 12.36
EXP-ZNO-02608,HepG2,147.9,6,68.74,57.73,56.55,23.46,72.62,68.23,0 - 30.7
EXP-ZNO-02609,CHO,177.98,48,74.04,57.97,61.42,5.0,72.19,43.15,0 - 19.42
EXP-ZNO-02610,Caco-2,21.78,24,15.31,14.42,13.43,82.28,15.29,50.0,0 - 22.5
EXP-ZNO-02611,A549,103.47,12,96.11,71.85,75.37,13.47,101.48,48.43,0 - 21.79
EXP-ZNO-02612,Caco-2,72.01,6,34.01,27.33,34.85,52.52,37.88,81.23,0 - 36.55
EXP-ZNO-02613,MCF-7,57.68,72,81.41,70.76,68.59,23.6,94.23,23.83,0 - 10.72
EXP-ZNO-02614,HeLa,108.25,12,60.25,50.8,50.54,28.51,63.0,57.36,0 - 25.81
EXP-ZNO-02615,HEK293,184.36,72,68.57,55.19,56.65,9.34,64.45,40.85,0 - 18.38
EXP-ZNO-02616,PC12,156.96,12,78.01,73.35,61.44,13.88,90.71,50.98,0 - 22.94
EXP-ZNO-02617,CHO,90.77,12,45.68,44.72,39.5,40.66,46.3,70.1,0 - 31.55
EXP-ZNO-02618,HeLa,64.21,48,64.03,57.46,50.65,26.53,65.76,35.31,0 - 15.89
EXP-ZNO-02619,PC12,164.38,12,97.23,79.04,74.31,7.49,102.01,50.98,0 - 22.94
EXP-ZNO-02620,PC12,168.06,24,85.86,83.29,76.99,7.67,100.49,40.0,0 - 18.0
EXP-ZNO-02621,MCF-7,13.34,24,16.65,13.19,15.57,82.85,20.27,35.0,0 - 15.75
EXP-ZNO-02622,Jurkat,165.5,48,100.0,83.05,87.24,5.75,120.47,23.54,0 - 10.59
EXP-ZNO-02623,CHO,11.72,72,9.13,12.52,11.41,85.11,11.57,37.44,0 - 16.85
EXP-ZNO-02624,HEK293,6.07,24,1.47,9.62,3.62,95.75,3.74,60.0,0 - 27.0
EXP-ZNO-02625,NIH-3T3,14.52,48,8.33,4.78,6.67,91.71,6.02,51.0,0 - 22.95
EXP-ZNO-02626,MCF-7,16.35,72,31.5,29.05,25.58,69.3,37.31,23.83,0 - 10.72
EXP-ZNO-02627,A549,57.65,6,59.7,45.23,48.64,46.64,63.24,61.73,0 - 27.78
EXP-ZNO-02628,HEK293,86.47,6,38.94,27.65,30.16,56.09,32.65,97.47,0 - 43.86
EXP-ZNO-02629,Caco-2,146.59,48,65.99,59.32,55.73,16.11,68.78,39.23,0 - 17.65
EXP-ZNO-02630,NIH-3T3,151.72,48,54.21,56.59,44.02,14.49,54.95,51.0,0 - 22.95
EXP-ZNO-02631,A549,129.12,6,81.78,71.44,64.74,21.38,91.31,61.73,0 - 27.78
EXP-ZNO-02632,HepG2,22.25,24,21.83,25.13,21.52,72.12,26.57,42.0,0 - 18.9
EXP-ZNO-02633,CHO,189.99,6,73.07,55.75,52.66,14.58,66.23,89.35,0 - 40.21
EXP-ZNO-02634,Caco-2,74.68,12,44.09,41.26,44.46,42.82,47.75,63.73,0 - 28.68
EXP-ZNO-02635,HeLa,80.88,12,49.47,46.81,42.07,40.63,52.91,57.36,0 - 25.81
EXP-ZNO-02636,Caco-2,63.89,24,46.85,39.71,32.82,42.6,46.5,50.0,0 - 22.5
EXP-ZNO-02637,A549,169.02,6,90.66,77.43,67.2,15.14,98.71,61.73,0 - 27.78
EXP-ZNO-02638,HepG2,199.96,6,68.09,53.68,52.9,26.94,69.44,68.23,0 - 30.7
EXP-ZNO-02639,A549,101.34,48,91.76,71.72,70.61,12.24,100.3,29.81,0 - 13.42
EXP-ZNO-02640,HEK293,29.44,6,9.14,13.13,10.03,87.32,9.9,97.47,0 - 43.86
EXP-ZNO-02641,Caco-2,7.29,24,6.01,12.48,6.01,88.26,9.35,50.0,0 - 22.5
EXP-ZNO-02642,HeLa,175.91,6,64.51,52.98,52.38,23.69,66.86,73.1,0 - 32.9
EXP-ZNO-02643,A549,117.75,48,83.59,71.56,67.54,18.59,93.95,29.81,0 - 13.42
EXP-ZNO-02644,PC12,166.88,24,85.87,76.26,73.73,12.93,95.69,40.0,0 - 18.0
EXP-ZNO-02645,Caco-2,134.19,72,63.74,61.86,65.44,12.05,72.03,34.04,0 - 15.32
EXP-ZNO-02646,A549,166.13,6,79.06,74.91,73.82,17.31,95.36,61.73,0 - 27.78
EXP-ZNO-02647,HEK293,87.41,24,46.56,36.87,39.31,36.71,44.53,60.0,0 - 27.0
EXP-ZNO-02648,A549,75.33,12,74.13,68.88,58.89,30.32,82.6,48.43,0 - 21.79
EXP-ZNO-02649,HEK293,8.97,48,1.59,0.81,3.61,93.75,3.49,47.08,0 - 21.18
EXP-ZNO-02650,PC12,146.89,12,88.36,81.83,74.06,9.49,99.26,50.98,0 - 22.94
EXP-ZNO-02651,A549,155.49,24,93.79,80.08,76.85,9.69,104.94,38.0,0 - 17.1
EXP-ZNO-02652,MCF-7,192.78,72,100.0,99.35,81.13,5.0,118.22,23.83,0 - 10.72
EXP-ZNO-02653,Caco-2,156.78,24,72.26,60.21,56.92,11.84,72.3,50.0,0 - 22.5
EXP-ZNO-02654,NIH-3T3,71.16,6,20.81,23.6,18.92,63.64,22.98,105.59,0 - 47.52
EXP-ZNO-02655,A549,76.16,48,80.48,77.09,67.74,19.48,93.7,29.81,0 - 13.42
EXP-ZNO-02656,MCF-7,60.93,72,90.0,84.85,76.31,13.79,106.6,23.83,0 - 10.72
EXP-ZNO-02657,Caco-2,16.49,24,2.47,14.55,13.33,92.11,8.19,50.0,0 - 22.5
EXP-ZNO-02658,PC12,160.43,12,75.44,68.41,65.08,20.19,86.27,50.98,0 - 22.94
EXP-ZNO-02659,HepG2,46.84,6,35.5,35.84,32.44,62.62,37.83,68.23,0 - 30.7
EXP-ZNO-02660,A549,110.88,24,88.2,76.07,70.41,17.8,96.85,38.0,0 - 17.1
EXP-ZNO-02661,Jurkat,133.13,6,84.75,79.62,68.16,18.78,103.65,48.74,0 - 21.93
EXP-ZNO-02662,CHO,38.88,72,44.6,41.14,32.56,46.84,41.9,37.44,0 - 16.85
EXP-ZNO-02663,HeLa,16.36,6,13.74,10.48,9.58,84.83,13.34,73.1,0 - 32.9
EXP-ZNO-02664,HepG2,147.17,48,70.0,71.01,65.75,13.77,81.51,32.95,0 - 14.83
EXP-ZNO-02665,Caco-2,14.01,72,20.56,13.81,15.18,77.33,18.81,34.04,0 - 15.32
EXP-ZNO-02666,HEK293,152.12,24,63.92,54.92,49.24,13.48,60.92,60.0,0 - 27.0
EXP-ZNO-02667,HepG2,53.18,72,65.25,55.37,59.16,22.05,72.66,28.59,0 - 12.87
EXP-ZNO-02668,NIH-3T3,117.08,6,43.37,35.17,31.31,40.46,38.73,105.59,0 - 47.52
EXP-ZNO-02669,PC12,32.19,6,19.84,13.77,12.43,81.77,19.56,64.98,0 - 29.24
EXP-ZNO-02670,HEK293,18.65,6,1.63,7.65,7.27,90.09,6.39,97.47,0 - 43.86
EXP-ZNO-02671,HEK293,3.89,24,5.96,0.0,1.85,94.12,3.75,60.0,0 - 27.0
EXP-ZNO-02672,HEK293,4.39,48,1.85,0.42,7.37,93.16,4.21,47.08,0 - 21.18
EXP-ZNO-02673,Jurkat,75.51,72,87.83,85.63,74.9,16.06,108.7,20.42,0 - 9.19
EXP-ZNO-02674,HEK293,131.56,48,58.08,52.67,48.3,19.8,56.83,47.08,0 - 21.18
EXP-ZNO-02675,Jurkat,12.74,48,41.17,38.76,32.13,69.84,44.13,23.54,0 - 10.59
EXP-ZNO-02676,PC12,35.78,72,59.71,48.92,40.34,46.31,60.0,27.23,0 - 12.25
EXP-ZNO-02677,HepG2,48.39,6,35.96,23.43,26.67,67.65,32.43,68.23,0 - 30.7
EXP-ZNO-02678,NIH-3T3,46.83,24,22.57,28.14,22.6,63.12,24.45,65.0,0 - 29.25
EXP-ZNO-02679,Caco-2,55.4,72,61.08,49.69,47.19,31.59,57.91,34.04,0 - 15.32
EXP-ZNO-02680,HeLa,157.77,24,79.75,75.32,78.33,5.0,86.5,45.0,0 - 20.25
EXP-ZNO-02681,PC12,131.3,72,91.32,76.59,77.57,5.0,102.22,27.23,0 - 12.25
EXP-ZNO-02682,Jurkat,45.38,72,84.42,68.98,71.21,22.71,99.52,20.42,0 - 9.19
EXP-ZNO-02683,PC12,55.41,72,69.8,61.77,61.27,28.65,78.3,27.23,0 - 12.25
EXP-ZNO-02684,HeLa,8.47,12,6.38,3.61,0.0,99.75,1.94,57.36,0 - 25.81
EXP-ZNO-02685,HepG2,22.6,24,23.73,22.64,19.74,76.66,23.91,42.0,0 - 18.9
EXP-ZNO-02686,Caco-2,66.96,24,61.68,52.36,51.53,29.9,59.82,50.0,0 - 22.5
EXP-ZNO-02687,HEK293,116.63,12,48.87,38.92,36.13,35.42,45.32,76.47,0 - 34.41
EXP-ZNO-02688,HepG2,78.8,6,52.28,45.87,32.82,45.63,51.92,68.23,0 - 30.7
EXP-ZNO-02689,Jurkat,23.09,48,59.26,50.32,50.11,46.89,69.51,23.54,0 - 10.59
EXP-ZNO-02690,MCF-7,71.62,12,72.64,58.86,54.92,31.97,82.01,44.61,0 - 20.07
EXP-ZNO-02691,PC12,88.05,48,82.51,65.59,67.84,15.96,90.32,31.38,0 - 14.12
EXP-ZNO-02692,HeLa,138.77,24,73.62,67.88,64.64,13.03,78.09,45.0,0 - 20.25
EXP-ZNO-02693,Caco-2,54.23,24,42.66,38.53,36.55,45.96,44.47,50.0,0 - 22.5
EXP-ZNO-02694,PC12,157.06,48,94.1,77.92,68.35,11.19,97.94,31.38,0 - 14.12
EXP-ZNO-02695,Jurkat,196.83,24,92.87,84.88,84.6,7.81,117.12,30.0,0 - 13.5
EXP-ZNO-02696,HeLa,123.58,6,58.31,58.01,51.18,32.32,61.88,73.1,0 - 32.9
EXP-ZNO-02697,A549,64.43,24,66.06,54.53,55.71,34.57,74.96,38.0,0 - 17.1
EXP-ZNO-02698,Caco-2,193.16,72,73.81,68.7,58.9,5.0,77.33,34.04,0 - 15.32
EXP-ZNO-02699,A549,39.86,12,30.47,27.41,29.45,68.9,36.21,48.43,0 - 21.79
EXP-ZNO-02700,NIH-3T3,185.87,12,45.66,46.06,41.27,22.52,48.78,82.85,0 - 37.28
EXP-ZNO-02701,Caco-2,114.38,24,70.21,63.04,52.95,19.93,67.9,50.0,0 - 22.5
EXP-ZNO-02702,A549,32.78,72,52.73,49.82,43.13,45.41,62.14,25.87,0 - 11.64
EXP-ZNO-02703,Jurkat,33.67,24,62.41,45.77,48.73,46.57,69.38,30.0,0 - 13.5
EXP-ZNO-02704,CHO,18.65,24,16.14,10.68,16.48,81.89,14.72,55.0,0 - 24.75
EXP-ZNO-02705,Jurkat,161.81,6,100.0,88.98,87.63,6.95,120.92,48.74,0 - 21.93
EXP-ZNO-02706,MCF-7,86.74,72,99.07,78.56,75.98,14.48,107.19,23.83,0 - 10.72
EXP-ZNO-02707,MCF-7,147.51,48,100.0,85.76,83.37,5.0,116.09,27.46,0 - 12.36
EXP-ZNO-02708,A549,174.95,48,100.0,86.13,82.66,5.0,111.38,29.81,0 - 13.42
EXP-ZNO-02709,PC12,90.54,24,84.2,70.43,64.26,16.11,90.84,40.0,0 - 18.0
EXP-ZNO-02710,HEK293,112.06,24,55.54,46.0,36.18,28.32,50.38,60.0,0 - 27.0
EXP-ZNO-02711,MCF-7,31.26,6,27.1,28.94,25.39,71.44,34.81,56.86,0 - 25.59
EXP-ZNO-02712,Jurkat,145.28,72,100.0,86.97,84.43,5.0,121.17,20.42,0 - 9.19
EXP-ZNO-02713,MCF-7,72.08,12,66.97,60.98,59.71,36.57,79.02,44.61,0 - 20.07
EXP-ZNO-02714,A549,130.66,48,96.83,84.37,79.55,5.0,109.74,29.81,0 - 13.42
EXP-ZNO-02715,MCF-7,118.77,12,88.27,78.33,69.43,16.6,101.9,44.61,0 - 20.07
